,Dataset,Num_of_Test,Len_of_Anomaly,Anomaly_Ratio,Precision(w.o. Adjustment),Recall(w.o. Adjustment),F1(w.o. Adjustment),Precision(w. Adjustment),Recall(w. Adjustment),F1(w. Adjustment),Best_F1_Score,AUC
0,M-6,2049,180.0,0.08784773060029283,0.41025641025641024,0.09467455621301775,0.15384615384615383,0.8802083333333334,1.0,0.9362880886426592,0.15841584158415842,0.1143675035982728
1,M-1,2277,1140.0,0.5006587615283268,0.39033124440465533,0.38859180035650626,0.3894595801697186,0.6222961730449251,1.0,0.7671794871794873,0.0,0.38788521141462323
2,M-2,2277,1140.0,0.5006587615283268,0.4525939177101968,0.4501779359430605,0.4513826940231936,0.6474654377880185,1.0,0.7860139860139861,0.3323442136498516,0.5655213042223718
3,S-2,1827,10.0,0.005473453749315818,0.9,0.9,0.9,0.9090909090909091,1.0,0.9523809523809523,0.888888888888889,0.9998321208729714
4,P-10,6100,130.0,0.021311475409836064,0.8307692307692308,0.8307692307692308,0.8307692307692308,0.8552631578947368,1.0,0.9219858156028369,0.9,0.8330056980056981
5,T-4,2217,68.0,0.03067207938655841,0.6060606060606061,0.5882352941176471,0.5970149253731343,0.723404255319149,1.0,0.8395061728395062,0.6330935251798561,0.9313937696290637
6,T-5,2218,25.0,0.01127141568981064,0.68,0.68,0.68,0.7575757575757576,1.0,0.8620689655172413,0.7936507936507937,0.9979288025889969
7,F-7,5054,420.0,0.08310249307479224,0.08851674641148326,0.0880952380952381,0.0883054892601432,0.5243445692883895,1.0,0.6879606879606879,0.09534127843986999,0.44958059244549253
8,M-3,2127,250.0,0.11753643629525153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5254091193004372
9,M-4,2038,250.0,0.12266928361138371,0.23265306122448978,0.228,0.2303030303030303,0.5707762557077626,1.0,0.7267441860465117,0.23831775700934577,0.6893555045871559
10,M-5,2303,300.0,0.13026487190620928,0.23595505617977527,0.21,0.22222222222222224,0.5952380952380952,1.0,0.7462686567164178,0.13496932515337423,0.6601978537894031
11,P-15,2856,20.0,0.0070028011204481795,0.35,0.35,0.35,0.6060606060606061,1.0,0.7547169811320755,0.6349206349206349,0.9946721311475409
12,C-1,2264,310.0,0.13692579505300354,0.3284671532846715,0.45,0.37974683544303794,0.5208333333333334,1.0,0.684931506849315,0.2546583850931677,0.8390166666666667
13,C-2,2051,135.0,0.06582155046318869,0.706766917293233,0.6962962962962963,0.7014925373134329,0.7194244604316546,0.7407407407407407,0.7299270072992701,0.7094339622641509,0.7445426338321355
14,T-12,2430,120.0,0.04938271604938271,0.6836734693877551,0.5583333333333333,0.6146788990825688,0.7947019867549668,1.0,0.8856088560885608,0.6582278481012659,0.8909234234234233
15,T-13,2430,250.0,0.102880658436214,0.32388663967611336,0.32,0.32193158953722334,0.5995203836930456,1.0,0.7496251874062969,0.4747774480712166,0.5120167441860465
16,F-4,3422,70.0,0.020455873758036237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27265795206971677
17,F-5,3922,150.0,0.0382457929627741,0.6453900709219859,0.8125,0.7193675889328063,0.691358024691358,1.0,0.8175182481751825,0.8823529411764706,0.9962776659959759
18,D-14,2625,220.0,0.0838095238095238,0.2682926829268293,0.25,0.25882352941176473,0.5945945945945946,1.0,0.7457627118644068,0.4086021505376344,0.9133870176586004
19,T-9,1096,110.0,0.10036496350364964,0.9532710280373832,0.9272727272727272,0.9400921658986175,0.9565217391304348,1.0,0.9777777777777777,0.9400921658986175,0.9580639026245722
20,P-14,6100,180.0,0.029508196721311476,0.6,0.6,0.6,0.7142857142857143,1.0,0.8333333333333333,0.7448275862068966,0.6836464817958875
21,T-8,1519,100.0,0.06583278472679395,0.5510204081632653,0.54,0.5454545454545455,0.6944444444444444,1.0,0.819672131147541,0.6071428571428571,0.8686897048236142
22,P-11,3535,226.0,0.06393210749646393,0.37894736842105264,0.3185840707964602,0.34615384615384615,0.5042016806722689,0.5309734513274337,0.5172413793103449,0.4571428571428571,0.6803922139419345
23,D-15,2158,640.0,0.2965708989805375,0.4294770206022187,0.4315286624203822,0.4305003971405878,0.6356275303643725,1.0,0.7772277227722773,0.41854934601664684,0.619463906581741
24,D-16,2191,650.0,0.29666818804198997,0.9568345323741008,0.20461538461538462,0.33713561470215464,0.9908536585365854,1.0,0.995405819295559,0.3397190293742018,0.6651039773874419
25,M-7,2156,100.0,0.04638218923933209,0.16853932584269662,0.15,0.15873015873015872,0.5747126436781609,1.0,0.7299270072992701,0.4246575342465754,0.6145253863134658
26,F-8,2487,536.0,0.21552070767993567,0.46065259117082535,0.5161290322580645,0.48681541582150106,0.6233243967828418,1.0,0.7679603633360857,0.3789173789173789,0.6984416873449131
