,Dataset,Num_of_Test,Len_of_Anomaly,Anomaly_Ratio,Precision(w.o. Adjustment),Recall(w.o. Adjustment),F1(w.o. Adjustment),Precision(w. Adjustment),Recall(w. Adjustment),F1(w. Adjustment),Best_F1_Score,AUC
0,P-1,8505,748.0,0.0879482657260435,0.3108108108108108,0.3074866310160428,0.30913978494623656,0.5179584120982986,0.732620320855615,0.6068660022148394,0.3257918552036199,0.7617814280218372
1,S-1,7331,447.0,0.06097394625562679,0.594170403587444,0.5928411633109619,0.5935050391937289,0.7117834394904459,1.0,0.8316279069767442,0.6051401869158878,0.8767587176188041
2,E-1,8516,506.0,0.059417566932832316,0.0102880658436214,0.009881422924901186,0.010080645161290322,0.49738766980146293,0.9407114624505929,0.6507177033492824,0.15133531157270028,0.6998060683326872
3,E-2,8532,1397.0,0.16373652133145805,0.21506154960173787,0.2125984251968504,0.21382289416846653,0.5630794034663442,1.0,0.7204744713769985,0.17670682730923692,0.4366448780955231
4,E-3,8307,3212.0,0.38666185145058385,0.37582005623242737,0.37794533459000945,0.37687969924812026,0.6143601621308628,1.0,0.7611190817790531,0.17801047120418848,0.45604298009855804
5,E-4,8354,2811.0,0.3364855159205171,0.3988480921526278,0.3948681397006415,0.3968481375358166,0.6268990169794459,1.0,0.7706673990661906,0.2750207929026892,0.5210077357170415
6,E-5,8294,320.0,0.03858210754762479,0.1167192429022082,0.115625,0.11616954474097331,0.5333333333333333,1.0,0.6956521739130436,0.22280701754385962,0.6175699911122396
7,E-6,8300,65.0,0.00783132530120482,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.7647058823529411,1.0,0.8666666666666666,0.7926829268292683,0.9986388642078
8,E-7,8310,280.0,0.03369434416365824,0.8880866425992779,0.8785714285714286,0.8833034111310593,0.9003215434083601,1.0,0.9475465313028766,0.9189189189189189,0.9983949293642784
9,E-8,8532,622.0,0.07290201593999063,0.3040650406504065,0.30064308681672025,0.3023443815683104,0.5923809523809523,1.0,0.7440191387559809,0.3230653643876784,0.7373879002211126
10,E-9,8302,350.0,0.04215851602023609,0.45664739884393063,0.4514285714285714,0.45402298850574707,0.6505576208178439,1.0,0.7882882882882882,0.5788497217068646,0.6939059260067664
11,E-10,8505,320.0,0.0376249265138154,0.0,0.0,0.0,0.0,0.0,0.0,0.13430127041742287,0.5655241436873996
12,E-11,8514,293.0,0.03441390650692976,0.0,0.0,0.0,0.0,0.0,0.0,0.14350590372388738,0.5672238984319165
13,E-12,8512,581.0,0.06825657894736842,0.0817391304347826,0.08089500860585198,0.08131487889273356,0.5014164305949008,0.9139414802065404,0.6475609756097561,0.2135785007072136,0.7180646863868453
14,E-13,8640,261.0,0.030208333333333334,0.21621621621621623,0.21455938697318008,0.21538461538461537,0.33223684210526316,0.38697318007662834,0.3575221238938053,0.2280373831775701,0.5426066502231717
15,A-1,8640,84.0,0.009722222222222222,0.9,0.6428571428571429,0.75,0.9333333333333333,1.0,0.9655172413793104,0.7647058823529412,0.8219312355484065
16,D-1,8509,3258.0,0.3828887060759196,0.5534339390206344,0.5565190461443171,0.5549722050648548,0.6901047232314597,1.0,0.8166413758219524,0.2609762079960755,0.7043114630801222
17,P-3,8493,1335.0,0.15718827269516072,0.7295266716754321,0.7273408239700374,0.7284321080270068,0.7876106194690266,1.0,0.8811881188118811,0.776351970669111,0.8169021677448643
18,D-2,8595,4217.0,0.4906340895869692,1.0,0.014228124258951862,0.028057049333645077,1.0,1.0,1.0,0.028057049333645077,0.06259529320036589
19,D-3,8640,3275.0,0.37905092592592593,0.49693627450980393,0.4952671755725191,0.49610032115002295,0.66605653853976,1.0,0.7995605468749999,0.41634429400386846,0.5051182383367794
20,D-4,8473,3247.0,0.38321727841378495,0.39777922926192033,0.37849596022374143,0.3878980891719745,0.6357171078625049,1.0,0.7772946859903382,0.4100418410041841,0.38216741356187234
21,A-2,7914,110.0,0.01389941875157948,0.46788990825688076,0.4636363636363636,0.4657534246575342,0.6547619047619048,1.0,0.7913669064748202,0.640926640926641,0.9878072925259859
22,A-3,8205,185.0,0.02254722730042657,0.825136612021858,0.8162162162162162,0.8206521739130436,0.8525345622119815,1.0,0.9203980099502488,0.9108910891089109,0.9972321760387863
23,A-4,8080,110.0,0.013613861386138614,0.29357798165137616,0.2909090909090909,0.2922374429223744,0.5882352941176471,1.0,0.7407407407407407,0.6953642384105961,0.9911133421034412
