,Dataset,Num_of_Test,Len_of_Anomaly,Anomaly_Ratio,Precision(w.o. Adjustment),Recall(w.o. Adjustment),F1(w.o. Adjustment),Precision(w. Adjustment),Recall(w. Adjustment),F1(w. Adjustment),Best_F1_Score,AUC
0,machine-1-5,23706,100,0.004218341348181895,0.46,0.46,0.46,0.5970149253731343,0.8,0.6837606837606838,0.46511627906976744,0.8657551089629442
1,machine-3-11,28696,198,0.006899916364650125,0.0,0.0,0.0,0.0,0.0,0.0,0.005872756933115824,0.6054330631545555
2,machine-3-7,28705,434,0.015119317192126808,0.02304147465437788,0.02304147465437788,0.02304147465437788,0.1293634496919918,0.14516129032258066,0.13680781758957655,0.07142857142857144,0.6452013362114175
3,machine-3-6,28726,1194,0.0415651326324584,0.22110552763819097,0.22110552763819097,0.22110552763819097,0.5592417061611374,0.9882747068676717,0.7142857142857143,0.23379081874112634,0.7121352071494431
4,machine-3-10,23693,1047,0.04419026716751783,0.670487106017192,0.670487106017192,0.670487106017192,0.7461368653421634,0.9684813753581661,0.8428927680798004,0.6751246035342093,0.8337642007474897
5,machine-1-4,23707,720,0.030370776563884084,0.5347222222222222,0.5347222222222222,0.5347222222222222,0.6815589353612167,0.9958333333333333,0.8092550790067721,0.5559610705596107,0.879483546441029
6,machine-1-6,23689,3708,0.15652834648993202,0.7134376686454398,0.7130528586839266,0.7132452117615323,0.7487579843860894,0.8535598705501618,0.7977315689981095,0.772547728768927,0.8134698458793109
7,machine-3-4,23687,977,0.04124625321906531,0.032753326509723645,0.032753326509723645,0.032753326509723645,0.5065274151436031,0.9928352098259979,0.6708160442600277,0.2332535885167464,0.7181380035586888
8,machine-3-5,23691,426,0.017981511966569583,0.11502347417840375,0.11502347417840375,0.11502347417840375,0.2777777777777778,0.3403755868544601,0.3059071729957806,0.12175324675324677,0.5568865563070442
9,machine-1-7,23697,2398,0.10119424399713044,0.1431552587646077,0.14303586321934947,0.14309553608677517,0.5361500225937641,0.9895746455379483,0.6954865181711605,0.14690546361369303,0.4733959495437733
10,machine-1-3,23703,817,0.034468210775007384,0.5128518971848225,0.5128518971848225,0.5128518971848225,0.668609492089925,0.9828641370869033,0.7958374628344896,0.5150955021565002,0.8445625040614999
11,machine-3-1,28700,308,0.010731707317073172,0.3051948051948052,0.3051948051948052,0.3051948051948052,0.3687315634218289,0.40584415584415584,0.38639876352395663,0.40189125295508277,0.7239452112963494
12,machine-1-2,23694,542,0.022874989448805606,0.2988929889298893,0.2988929889298893,0.2988929889298893,0.45323741007194246,0.5811808118081181,0.5092966855295069,0.36026490066225164,0.6010720928072527
13,machine-3-2,23703,1109,0.04678732649875543,0.002705139765554554,0.002705139765554554,0.002705139765554554,0.002705139765554554,0.002705139765554554,0.002705139765554554,0.0063254744105807935,0.5315591650360546
14,machine-3-3,23703,632,0.026663291566468378,0.2974683544303797,0.2974683544303797,0.2974683544303797,0.5483214649033571,0.8528481012658228,0.6674922600619195,0.3040581465778316,0.7487032057150106
15,machine-1-1,28479,2694,0.09459601811861372,0.3661344225770516,0.36599851521900517,0.36606645628364576,0.6115157032316796,0.9974016332590943,0.7581828442437923,0.3685300207039338,0.543189435205503
16,machine-2-4,23689,1694,0.07150998353666259,0.3479031305375074,0.3476977567886659,0.3478004133451432,0.5510370069133794,0.7998819362455726,0.6525403322899109,0.3808789514263685,0.6801738048899079
17,machine-2-5,23689,980,0.04136941196335852,0.18386108273748722,0.1836734693877551,0.18376722817764163,0.18386108273748722,0.1836734693877551,0.18376722817764163,0.26490066225165565,0.28342731612346656
18,machine-2-7,23696,417,0.01759790681971641,0.7314148681055156,0.7314148681055156,0.7314148681055155,0.7314148681055156,0.7314148681055156,0.7314148681055155,0.8117489986648865,0.8318072486419481
19,machine-2-6,28743,424,0.014751417736492363,0.3089622641509434,0.3089622641509434,0.3089622641509434,0.4886561954624782,0.660377358490566,0.5616850551654966,0.309552599758162,0.7336812521543863
20,machine-2-2,23700,2833,0.11953586497890295,0.19710349699752738,0.1969643487469114,0.19703389830508478,0.5540514027859526,0.9968231556653724,0.7122320302648172,0.23542306006137662,0.409923587126492
21,machine-2-3,23689,269,0.011355481447085146,0.4646840148698885,0.4646840148698885,0.4646840148698885,0.6335877862595419,0.9256505576208178,0.7522658610271903,0.4736,0.8489828779598114
22,machine-2-1,23694,1170,0.049379589769561916,0.1146278870829769,0.11452991452991453,0.1145788798631894,0.4681397738951696,0.7786324786324786,0.5847240051347882,0.16494845360824742,0.5292675414209365
23,machine-2-8,23703,161,0.006792389149052862,0.16149068322981366,0.16149068322981366,0.16149068322981366,0.543918918918919,1.0,0.7045951859956238,0.1836734693877551,0.761620328055251
24,machine-2-9,28722,1755,0.061102987257154795,0.250285062713797,0.2501424501424501,0.25021373610715303,0.35978578383641674,0.42108262108262107,0.3880283538986611,0.29660661918726433,0.5222404599849213
25,machine-3-8,28704,1371,0.04776337792642141,0.472992700729927,0.4726477024070022,0.47282013863553446,0.6264873254009312,0.8832968636032094,0.733050847457627,0.5224014336917562,0.5821162313652605
26,machine-3-9,28713,303,0.010552711315432034,0.35973597359735976,0.35973597359735976,0.35973597359735976,0.4294117647058823,0.48184818481848185,0.4541213063763608,0.44742729306487694,0.6663388416306418
27,machine-1-8,23699,763,0.03219545128486434,0.23197903014416776,0.23197903014416776,0.23197903014416776,0.3567508232711306,0.4259501965923984,0.3882915173237754,0.28060768543342274,0.5984684620588224
